,DRUG,BACKGROUND_RATE,conf_level,SENSITIVITY,SPECIFICITY,DPR,SENSITIVITY2,SPECIFICITY2
22,EMB,0.1,0.9,0.949150256271918,0.6626177024482109,0.8406875135408391,0.9310664196877481,0.8945649295235854
23,EMB,0.1,0.95,0.9488258449843898,0.6662218833396873,0.8360655737704918,0.9248478433448002,0.8969484742371185
24,EMB,0.15,0.9,0.9473684210526315,0.6801595214356929,0.8332731518259069,0.9026197406721355,0.9055998587529058
25,EMB,0.15,0.95,0.9469781757134863,0.6827718378051241,0.8290363737030885,0.8956073035194496,0.9074537268634317
26,EMB,0.2,0.9,0.9430916933351885,0.68278432557671,0.9129534676584579,0.8967980947340566,0.9073360209516523
27,EMB,0.2,0.95,0.9450580978338833,0.6897707046382577,0.8233311667990659,0.8716591690923525,0.9128093458493953
28,EMB,0.25,0.9,0.9363264153607228,0.6918422699770499,0.9156977443971016,0.8774808150304313,0.913074184150899
29,EMB,0.25,0.95,0.9365056407289557,0.6942955179069269,0.9047206374425266,0.8567081238422863,0.916105111379219
30,PZA,0.05,0.9,0.875632975491189,0.8489787902592302,0.9756377285049003,0.8668538199318228,0.967671417160634
31,PZA,0.05,0.95,0.8752032520325204,0.8514929800276844,0.9744213526099952,0.8634449568879086,0.9684281330138311
32,PZA,0.1,0.9,0.8670694864048338,0.8471431583386042,0.9666713004795996,0.805694806496892,0.9695211670240047
33,PZA,0.1,0.95,0.8664353859496965,0.8522072936660269,0.9647946062417461,0.8012833366753559,0.9708664396519107
34,PZA,0.15,0.9,0.8638732088580113,0.8592096739365148,0.970320428164315,0.7978744736314417,0.9725900702064153
35,PZA,0.15,0.95,0.8626806833114323,0.8659045944163553,0.9662542573156322,0.7898536194104672,0.9743557405305419
36,PZA,0.2,0.9,0.8614404918752745,0.8741087344028521,0.9670188364495725,0.7866452777220774,0.9762475301635347
37,PZA,0.2,0.95,0.8608599779492834,0.8778952102541039,0.9655939389726836,0.7828353719671145,0.9771724050952201
