,DRUG,BACKGROUND_RATE,p_value,SENSITIVITY,SPECIFICITY,DPR,SENSITIVITY2,SPECIFICITY2
65,EMB,0.15,0.95,0.9556865728413846,0.8965785717375319,0.822402550355021,0.9095022624434389,0.9174948240165631
66,EMB,0.2,0.9,0.9533043134151168,0.9077149919771023,0.8147514852919867,0.8720361990950226,0.9265700483091788
67,EMB,0.2,0.95,0.953386454183267,0.9073936750272628,0.8098826257064193,0.8662443438914027,0.9267425810904072
68,EMB,0.25,0.9,0.9473065621939275,0.9198582371098663,0.9084480510071005,0.8752941176470588,0.9274327122153209
69,EMB,0.25,0.95,0.9522280208751506,0.9100091031254064,0.8129546442544558,0.8586425339366516,0.9283643892339545
70,ETH,0.05,0.9,0.9089866156787763,0.8698379004245466,0.8961541117171856,0.823346033945272,0.8836667816488444
71,ETH,0.05,0.95,0.9075369075369075,0.8739699466795928,0.8899399295726024,0.8091444405957742,0.8878923766816144
72,ETH,0.1,0.9,0.8980263157894737,0.8846661637118068,0.9000897604087551,0.7564946311049532,0.8945325974473957
73,ETH,0.1,0.95,0.8940170940170941,0.9052397954260349,0.8770972864737968,0.7246276411499827,0.9153156260779579
74,ETH,0.15,0.9,0.8870895186684661,0.9174837394427725,0.8647379686529034,0.6830620020782819,0.9266988616764401
75,ETH,0.15,0.95,0.8858720662678324,0.9214222571456635,0.8530000690464683,0.6667821267751992,0.931010693342532
76,ETH,0.2,0.9,0.8692272519433013,0.9309749784296808,0.8712283366705793,0.658468998960859,0.9379096240082787
77,ETH,0.2,0.95,0.8667908709827666,0.936,0.8645998757163571,0.6446137859369587,0.9427388754743015
78,ETH,0.25,0.9,0.8667908709827666,0.9360616273471353,0.8652903403990886,0.6446137859369587,0.9427388754743015
79,ETH,0.25,0.95,0.858345715700842,0.9440987750340268,0.849616792101084,0.600277104260478,0.9504139358399448
80,INH,0.05,0.9,0.9482822312523088,0.9823978278170498,0.9390742734122712,0.939467135119309,0.983998638181973
81,INH,0.05,0.95,0.948075068615088,0.984933821458744,0.9361410118406889,0.9355145659493486,0.9863392629159928
82,INH,0.1,0.9,0.9465608861612155,0.9857227031682002,0.9532831001076426,0.925706338749817,0.9865946037960678
83,INH,0.1,0.95,0.946916647842783,0.9864532591046161,0.9374596340150699,0.9205094422485727,0.9875734105030215
84,INH,0.15,0.9,0.9462163381976831,0.9868379535722335,0.9547631862217438,0.9207290294246816,0.9875734105030215
85,INH,0.15,0.95,0.9462106373361459,0.987052379012178,0.9516415500538213,0.9193383106426585,0.9878287513830964
86,INH,0.2,0.9,0.9460090361445783,0.987139709519313,0.9558396124865447,0.9195578978187674,0.9878287513830964
87,INH,0.2,0.95,0.9458908761602898,0.9878356460623535,0.9539020452099031,0.9174352217830478,0.9885096603966295
88,INH,0.25,0.9,0.9455340977670489,0.9878950907868191,0.9569698600645856,0.9174352217830478,0.9885096603966295
89,INH,0.25,0.95,0.9454669911773653,0.9888798847469836,0.9515608180839612,0.9098960620699751,0.9894884671035833
90,KAN,0.05,0.9,0.8422489082969432,0.9315121448360286,0.9535139293367767,0.8390429581294182,0.9350244498777506
91,KAN,0.05,0.95,0.8418171866447729,0.9318123227635988,0.9529644485960767,0.8363240891789016,0.9353300733496333
