,DRUG,BACKGROUND_RATE,p_value,SENSITIVITY,SPECIFICITY,COVERAGE,SENSITIVITY2,SPECIFICITY2,TP,FP,TN,FN,UP,UN
30,INH,0.05,0.9,0.9487035581995734,0.980377421509686,0.9399612943876862,0.9421469178463939,0.9822614734299517,16904,470,23482,914,124,2544
31,INH,0.1,0.9,0.9470842332613391,0.9825180433039294,0.9571537872991583,0.928714747519786,0.9835446859903382,16663,436,24504,931,348,1556
32,INH,0.15,0.9,0.9469288027728848,0.9825822946628315,0.9593366038075521,0.9288262178129528,0.9835446859903382,16665,436,24596,934,343,1464
33,INH,0.2,0.9,0.9463623395149786,0.9843476182889915,0.9593816103334983,0.924367406086278,0.9851675724637681,16585,393,24715,940,417,1388
34,INH,0.25,0.9,0.9461437310616889,0.9847467725918571,0.9601242180116116,0.9223609408092743,0.9855072463768116,16549,384,24791,942,451,1321
35,KAN,0.05,0.9,0.8475018642803878,0.9323673870333988,0.9532122616141977,0.8424759080800593,0.9358789289871944,2273,1377,18983,409,16,1115
36,KAN,0.1,0.9,0.8266416510318949,0.9716537746009988,0.9552393165928929,0.8165307635285397,0.9730384167636787,2203,579,19847,462,33,1049
37,KAN,0.15,0.9,0.8251510574018127,0.9747156733538341,0.9570595292268234,0.8098591549295775,0.9758789289871944,2185,518,19969,463,50,988
38,KAN,0.2,0.9,0.8248865355521936,0.9750329155897987,0.9577214247300707,0.8083765752409192,0.9761583236321304,2181,512,19995,463,54,968
39,KAN,0.25,0.9,0.8239516433698527,0.9751432177881347,0.9616100608116493,0.8083765752409192,0.9761583236321304,2181,512,20086,466,51,877
40,LEV,0.05,0.9,0.9246954595791805,0.9626967830253251,0.8705405732252993,0.894962486602358,0.9682655215081156,2505,436,11252,204,90,2051
41,LEV,0.1,0.9,0.9213859910581222,0.9659585145533623,0.8852340065304148,0.8835298320828867,0.9703763010408326,2473,407,11549,211,115,1783
42,LEV,0.15,0.9,0.9210624766180322,0.9688309517840729,0.8852340065304148,0.8795998570918185,0.9728510080791907,2462,373,11594,211,126,1772
43,LEV,0.2,0.9,0.9205572289156626,0.970970970970971,0.8854758737453138,0.8735262593783494,0.974670645607395,2445,348,11640,211,143,1751
44,LEV,0.25,0.9,0.9184597961494904,0.9712934539118891,0.8889829483613496,0.8692390139335477,0.9748162166096513,2433,346,11707,216,150,1686
45,LZD,0.05,0.9,0.3035230352303523,0.9977276095440399,0.9912951474053768,0.3027027027027027,0.9977476374675611,112,46,20197,257,1,180
46,LZD,0.1,0.9,0.3016304347826087,0.9977276095440399,0.9912470542971192,0.3,0.9977476374675611,111,46,20197,257,2,180
47,LZD,0.15,0.9,0.3008130081300813,0.9977392244556937,0.9962968306641659,0.3,0.9977476374675611,111,46,20301,258,1,76
48,LZD,0.2,0.9,0.3008130081300813,0.9977392244556937,0.9962968306641659,0.3,0.9977476374675611,111,46,20301,258,1,76
49,LZD,0.25,0.9,0.3008130081300813,0.9977392244556937,0.9962968306641659,0.3,0.9977476374675611,111,46,20301,258,1,76
50,MXF,0.05,0.9,0.9473971109294086,0.9109904677734991,0.8678053553954275,0.9242222813081628,0.9246835104962342,3476,1410,14431,193,92,2880
51,MXF,0.1,0.9,0.9460864805692392,0.9137651316610508,0.8753669602348545,0.9191704333953735,0.9261791570963089,3457,1382,14644,197,107,2695
52,MXF,0.15,0.9,0.945273631840796,0.9169204001739887,0.8767458411173383,0.9093326243020473,0.9285828748464291,3420,1337,14756,198,143,2628
53,MXF,0.2,0.9,0.945364238410596,0.9180419406874302,0.878124721999822,0.9109279446955597,0.9294375300464719,3426,1321,14797,198,137,2603
54,MXF,0.25,0.9,0.9447375728964177,0.9189239447096015,0.8777688817720843,0.9045466631215102,0.9301319373965066,3402,1308,14825,199,160,2588
55,RIF,0.05,0.9,0.9625052076100542,0.9728759195342189,0.971608334836731,0.9591088355358749,0.9739720986250042,13862,778,27905,540,51,1208
56,RIF,0.1,0.9,0.9623625991373312,0.9730753196220122,0.9732545552949666,0.9571023316958417,0.9740724632832625,13833,775,28009,541,79,1107
57,RIF,0.15,0.9,0.961682892906815,0.9734933131639564,0.9802228035359913,0.9568255725454923,0.974206282827607,13829,771,28316,551,73,804
58,RIF,0.2,0.9,0.9609911504424778,0.9815936062000484,0.9703229298213963,0.9391821767107175,0.982202000602188,13574,532,28371,551,328,988
59,RIF,0.25,0.9,0.9609911504424778,0.9816412450824764,0.9720142522099946,0.9391821767107175,0.982202000602188,13574,532,28446,551,328,913
60,STM,0.05,0.9,0.956813604833296,0.8898245614035087,0.9410871765216134,0.944554892865032,0.898785860105297,4276,942,7608,193,58,757
61,STM,0.1,0.9,0.9555504375863657,0.9033483733080029,0.9226543299118115,0.9165009940357853,0.912538949178038,4149,814,7608,193,185,885
62,STM,0.15,0.9,0.9547373358348968,0.914535022710973,0.912968049732543,0.899271040424122,0.9231761040077361,4071,715,7651,193,263,941
63,STM,0.2,0.9,0.9539739027283511,0.9183454523781142,0.911088622235073,0.8882261983653634,0.9263994842591597,4021,685,7704,194,312,918
64,STM,0.25,0.9,0.9515655577299413,0.9337196667873958,0.8942460604308227,0.859288712171416,0.9410121413989471,3890,549,7734,198,439,1024
