,DRUG,catalogue,SENSITIVITY,SPECIFICITY,COVERAGE,SENSITIVITY2,SPECIFICITY2,SENSITIVITY_LOW,SENSITIVITY_HIGH,SPECIFICITY_LOW,SPECIFICITY_HIGH,DPR_LOW,DPR_HIGH,TP,FN,TN,FP,UP,UN
20,MXF,MTBC-CRyPTICv1.1.1-2025.8,0.9421667119196308,0.9368404636897645,0.9318967269770279,0.9102833158447009,0.9415387576384545,0.9341570962419615,0.9492549073329938,0.9333150717917877,0.9401914240634164,0.9286803843180051,0.9349781760074825,3470,213,18022,1215,129,1546
21,MXF,MTBC-CRyPTICv3.4.0-2025.8,0.9416870084079197,0.9373323705384774,0.9381988208985567,0.9108079748163693,0.9415387576384545,0.9336533403920634,0.948801253320202,0.9338334379053269,0.9406580350169816,0.9351205121558468,0.9411402676895704,3472,215,18173,1215,125,1395
22,MXF,WHOv1,0.9429657794676806,0.9323083493487081,0.911323439723521,0.9108079748163693,0.9389885964490209,0.9350031036494172,0.9500051194236651,0.9286214678192105,0.9358179562438623,0.9077061465801844,0.9148122648608884,3472,210,17464,1268,130,2051
23,MXF,WHOv2,0.9427954668105775,0.9318576160681424,0.9239682862370401,0.916579223504722,0.9376413414810182,0.934849919666634,0.9498240041196675,0.928188431712168,0.9353523823959669,0.9205892148737861,0.9272149402492097,3494,212,17723,1296,106,1764
24,BDQ,MTBC-CRyPTICv1.1.1-2025.8,0.6896,0.9898653539887071,0.9291505791505792,0.43890020366598775,0.9903832944085726,0.6522625162397198,0.7246210315538069,0.9880536093909013,0.9914047264377023,0.9250096440732108,0.9330793962284104,431,194,13674,140,357,744
25,BDQ,MTBC-CRyPTICv3.4.0-2025.8,0.7925133689839572,0.9845910138248848,0.9538610038610038,0.754582484725051,0.985300178595961,0.7653500667868609,0.8172829165148165,0.9824043821052607,0.9865096412730802,0.950448970026438,0.9570487059740618,741,194,13674,214,47,670
26,BDQ,WHOv1,0.0,1.0,1.0,0.0,1.0,-4.336808689942018e-19,0.003896629408636806,0.9997361969067197,0.9999999999999999,0.9997528629695002,1.0,0,982,14558,0,0,0
27,BDQ,WHOv2,0.7541766109785203,0.984212389380531,0.9628700128700128,0.6435845213849287,0.9846819618079407,0.7239078420491122,0.7821256818839669,0.9820211209472717,0.9861403549860678,0.9597809662214752,0.9657302748775741,632,206,13902,223,144,433
28,LZD,MTBC-CRyPTICv1.1.1-2025.8,0.2982456140350877,0.9976921425504508,0.9963766213306727,0.29737609329446063,0.9977005347593583,0.2522187877548622,0.34875444295445,0.9968930232219194,0.9982860804950114,0.9954173502713762,0.9971356691293808,102,240,18589,43,1,68
29,LZD,MTBC-CRyPTICv3.4.0-2025.8,0.30116959064327486,0.997680565294784,0.9914929370372315,0.30029154518950435,0.9977005347593583,0.254977194544375,0.351779032821324,0.9968774444241767,0.9982774805089728,0.9900857677057566,0.9927018530381084,103,239,18496,43,1,161
