,DRUG,catalogue,SENSITIVITY,SPECIFICITY,PPV,COVERAGE,SENSITIVITY2,SPECIFICITY2,SENSITIVITY_LOW,SENSITIVITY_HIGH,SPECIFICITY_LOW,SPECIFICITY_HIGH,PPV_LOW,PPV_HIGH,DPR_LOW,DPR_HIGH,TP,FN,TN,FP,UP,UN
19,BDQ,WHOv2,0.46774193548387094,0.984353171276893,0.25663716814159293,0.9674861927667914,0.4027777777777778,0.9848402815376286,0.38221370044644004,0.5552087908658616,0.9818265341309504,0.9865333508814473,0.2040913914553192,0.31731784182920275,0.9640420510192715,0.9706105029360397,58,66,10569,168,20,345
20,BDQ,MTBC-CRyPTICv1.1.1-2025.8,0.5220588235294118,0.990295835688713,0.40804597701149425,0.9575984322109389,0.4930555555555556,0.9907056487998557,0.43866080425645243,0.6042449266376544,0.9882454065857865,0.9919914937640141,0.3377728426365427,0.4822916113316207,0.9537117454596217,0.9611720521143939,71,65,10511,103,8,468
21,LZD,WHOv1,0.2975609756097561,0.9978929624947324,0.6703296703296703,0.9910113901468368,0.2975609756097561,0.9979121720370242,0.23916719665855926,0.3634021376647482,0.9969937012621307,0.9985236299056618,0.5685702786797695,0.7582909947070953,0.989344448341512,0.9924195556386629,61,144,14208,30,0,131
22,LZD,WHOv2,0.2975609756097561,0.9978929624947324,0.6703296703296703,0.9910113901468368,0.2975609756097561,0.9979121720370242,0.23916719665855926,0.3634021376647482,0.9969937012621307,0.9985236299056618,0.5685702786797695,0.7582909947070953,0.989344448341512,0.9924195556386629,61,144,14208,30,0,131
23,LZD,MTBC-CRyPTICv1.1.1-2025.8,0.2975609756097561,0.9979050279329609,0.6703296703296703,0.9966378482228626,0.2975609756097561,0.9979121720370242,0.23916719665855926,0.3634021376647482,0.9970109070293361,0.9985320861681081,0.5685702786797695,0.7582909947070953,0.9955582303712098,0.9974557244650821,61,144,14290,30,0,49
24,CFZ,WHOv1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.008445709480077305,0.9996876060544851,1.0000000000000002,,,0.9996986580957173,0.9999999999999999,0,451,12293,0,0,0
25,CFZ,WHOv2,0.14769975786924938,0.9866689166385421,0.2785388127853881,0.962413684871312,0.1352549889135255,0.9871471569185716,0.11673171134655216,0.18516114541658782,0.9844407846458522,0.9885816735295873,0.22337561599498,0.3413373395145712,0.9589697928350828,0.9655788876668102,61,352,11694,158,38,441
26,CFZ,MTBC-CRyPTICv1.1.1-2025.8,0.1945080091533181,0.9869998311666385,0.35564853556485354,0.9638261142498431,0.188470066518847,0.9874725453510128,0.16012497173102122,0.2342151143528551,0.9847963498321406,0.9888875631632887,0.29768010642394643,0.4181838966376262,0.96044197621073,0.9669307117999081,85,352,11692,154,14,447
27,DLM,WHOv1,0.0859375,0.9997062567316166,0.7857142857142857,0.9888123924268503,0.07482993197278912,0.9997090485888857,0.0486631313713862,0.14734091054261297,0.9991366456890078,0.9999000958655755,0.5241076941339969,0.9242861328730682,0.9866094915774232,0.9906563215438259,11,117,10210,3,19,98
28,DLM,WHOv2,0.15827338129496402,0.9995105237395986,0.8148148148148148,0.990055459934978,0.14965986394557823,0.9995150809814761,0.10690571776202609,0.2280212650318734,0.9988545888258644,0.9997909074491806,0.6330131638145156,0.9181929285702346,0.9879656540822979,0.9917853811771704,22,117,10210,5,8,96
29,DLM,MTBC-CRyPTICv1.1.1-2025.8,0.34065934065934067,0.9992123503465659,0.8611111111111112,0.6157008988334289,0.2108843537414966,0.9995150809814761,0.25151369352131464,0.44271285718129544,0.9981573569382609,0.9996635176993651,0.713404696106438,0.9391818499086717,0.606337294596193,0.624979535191896,31,60,6343,5,56,3963
30,AMI,WHOv1,0.8738800827015851,0.9829986448195146,0.8212435233160622,0.9205184259837601,0.8470273881095525,0.984419983065199,0.8558051491901019,0.8899805812217255,0.9808927064325711,0.9848760529046651,0.8013419949754295,0.8395505165585415,0.9166089958023478,0.9242597236147221,1268,183,15958,276,46,1481
31,AMI,WHOv2,0.8655290102389078,0.9830892714907175,0.8212435233160622,0.9257755569435769,0.8470273881095525,0.984419983065199,0.8471000736128619,0.8820460119421348,0.9809944439616461,0.9849567439734527,0.8013419949754295,0.8395505165585415,0.9219831270771169,0.9293977523425677,1268,197,16045,276,32,1394
32,AMI,MTBC-CRyPTICv1.1.1-2025.8,0.8744855967078189,0.9827564971055549,0.819935691318328,0.9210909848011659,0.8517034068136272,0.9841941857183178,0.8564897679512957,0.8905132626515886,0.9806370543792894,0.9846475803556175,0.8000565877238682,0.8382379574781466,0.9171940495539174,0.9248195585763085,1275,183,15958,280,39,1477
33,STM,WHOv1,0.9505732484076433,0.9449456396021282,0.8868552412645591,0.8742002781641168,0.8212634822804314,0.951611263596625,0.9433405795293159,0.9569248134808894,0.9399373171176848,0.9495587547616475,0.8769281218075077,0.8960765215237111,0.8686799607318805,0.879520722014129,3731,194,8170,476,618,1191
34,STM,WHOv2,0.9503201024327785,0.9456018518518519,0.8875867017459937,0.8723922114047288,0.8168611049966982,0.9522212056521298,0.9430515800006672,0.9567035103633935,0.9406184760164965,0.9501891627726738,0.8776540671119755,0.8968077689914469,0.8668392318667015,0.877746283112834,3711,194,8170,470,638,1197
35,STM,MTBC-CRyPTICv1.1.1-2025.8,0.9542897327707455,0.9318181818181818,0.8704297626683771,0.9147426981919332,0.8961038961038961,0.9383958523940226,0.9476031618328788,0.9601588797747571,0.926389262223253,0.9368739926996537,0.8605002809447571,0.879751238035974,0.9100667971306736,0.9191970705328089,4071,195,8282,606,277,949
36,ETH,WHOv1,0.9003350083752094,0.8977295359490142,0.6767390620081838,0.8582476006352275,0.744717700034638,0.9114349775784754,0.887670027629994,0.9117140590321371,0.8916502982859411,0.903504595681272,0.660270063276606,0.692781170033323,0.8524720140689614,0.8638331950062501,2150,238,9015,1027,499,1554
37,ETH,WHOv2,0.8963865912059208,0.8968569723493137,0.6650516795865633,0.8527929296416489,0.713197090405265,0.910572611245257,0.8832546046756529,0.9081949726165441,0.8907594873051214,0.9026513089051893,0.648231087830302,0.6814631928535916,0.8469289994981613,0.8584697604073595,2059,238,9017,1037,590,1542
38,ETH,MTBC-CRyPTICv1.1.1-2025.8,0.9089866156787763,0.8698379004245466,0.6379495437466451,0.8961541117171856,0.823346033945272,0.8836667816488444,0.8973543445741891,0.9194190392423424,0.8632225472889224,0.8761791912936022,0.6223833939192701,0.6532315380690278,0.8910803462986062,0.9010177816900274,2377,238,9015,1349,272,1232
39,KAN,WHOv1,0.803670745272525,0.9747108410115664,0.7887554585152838,0.9396670146711358,0.7857531266992931,0.9763447432762836,0.7846709759689923,0.8213756851588487,0.9721016561206322,0.9770817556947129,0.76946931566918,0.8068331721718108,0.93611404580226,0.9430344122119861,1445,353,14916,387,41,1057
40,KAN,WHOv2,0.8041179744017808,0.9745092873139244,0.7887554585152838,0.9329633496345953,0.7857531266992931,0.9763447432762836,0.7851275564032688,0.8218109359589442,0.9718796224140416,0.9768988854526472,0.76946931566918,0.8068331721718108,0.9292378169508394,0.9365061404225595,1445,352,14795,387,42,1178
41,KAN,MTBC-CRyPTICv1.1.1-2025.8,0.8355150825270348,0.9713139418254765,0.7738534528202425,0.9182922138579043,0.7982599238716693,0.9737775061124695,0.8174524319246784,0.8521138110178427,0.9685152287255857,0.9738705862993812,0.7544857414828311,0.7921142893501499,0.9142237151158722,0.9221841629861646,1468,289,14526,429,82,1405
42,CAP,WHOv1,0.8106060606060606,0.9761458846722524,0.7558022199798183,0.9593517074016294,0.7834728033472803,0.9771309771309772,0.7840757824903947,0.8345643898614271,0.9729914063056057,0.9789399091258032,0.7281002102225186,0.7815287316603502,0.9555929413627051,0.9628047023598307,749,175,9903,242,32,437
43,CAP,WHOv2,0.8125,0.9757976884322829,0.7547547547547547,0.9577916449991333,0.7887029288702929,0.9768474768474769,0.7861181669265336,0.83630530920215,0.9726186777791939,0.9786157262717801,0.7271332287243212,0.7804245667008559,0.9539679808836904,0.9613105765016744,754,174,9878,245,28,459
44,CAP,MTBC-CRyPTICv1.1.1-2025.8,0.8402173913043478,0.9760509816013979,0.768389662027833,0.922950251343387,0.8085774058577406,0.9779814779814779,0.815133332516869,0.8624721094375374,0.9728198383225347,0.9789063394017635,0.7413296418783494,0.7934077619816772,0.9179424176033069,0.9276765449185751,773,147,9496,233,36,853
