,DRUG,Comparison,sens_p_value,spec_p_value,dpr_p_value,sens2_p_value,spec2_p_value
18,ETH,WHOv1 > WHOv2,0.6547449688531352,0.8385646179226472,0.18674341241023784,0.007055345682317266,0.8176149412098024
19,ETH,WHOv1 > catomatic_v3.4.0,0.29753558232860333,5.291689653998236e-10,8.499471604424699e-23,3.8760960344084564e-13,3.108394102408736e-12
20,ETH,WHOv2 > catomatic_v3.4.0,0.13637636701007072,1.8745644381578155e-09,8.271708731935319e-29,3.4625695849364803e-23,1.544702894635811e-11
21,INH,WHOv1 > WHOv2,0.01379292450038606,0.34841976891781334,0.005124703612120625,0.026139143195782387,0.39528701185833015
22,INH,WHOv1 > catomatic_v3.4.0,0.00020421375016295418,0.20023008245315732,0.8563405495306762,2.9099491967521593e-09,0.23066829267827837
23,INH,WHOv2 > catomatic_v3.4.0,0.21244483691380112,0.7318332545160311,0.008839632568366536,0.00020033254436468436,0.7272214665973107
24,KAN,WHOv1 > WHOv2,0.9730621789103802,0.9109379413643975,0.008825565289025426,1.0,1.0
25,KAN,WHOv1 > catomatic_v3.4.0,0.013597856850382974,0.06819608376449962,2.0531177247493538e-15,0.350097698917334,0.13649315374926835
26,KAN,WHOv2 > catomatic_v3.4.0,0.014935666118439444,0.0874881269896942,9.609897779563627e-08,0.350097698917334,0.13649315374926835
27,LEV,WHOv1 > WHOv2,0.9437634301208909,0.6800177099076723,0.4727122938607029,0.430393531487116,0.6674617919008231
28,LEV,WHOv1 > catomatic_v3.4.0,0.9786623512556205,0.35691497083311363,0.009288352065796876,0.7695945616711712,0.4278301902392573
29,LEV,WHOv2 > catomatic_v3.4.0,0.9224125343521669,0.18190579603430634,0.05958296088179495,0.6201124077425745,0.22160560222162817
30,LZD,WHOv1 > WHOv2,1.0,1.0,1.0,1.0,1.0
31,LZD,WHOv1 > catomatic_v3.4.0,1.0,0.9822366708547895,8.739501627449624e-10,1.0,1.0
32,LZD,WHOv2 > catomatic_v3.4.0,1.0,0.9822366708547895,8.739501627449624e-10,1.0,1.0
33,MXF,WHOv1 > WHOv2,0.9972662906676464,0.8714386409387405,0.0002955438799368483,0.4240689472813802,0.6655038091424137
34,MXF,WHOv1 > catomatic_v3.4.0,0.9556074104542599,0.1249838371568406,3.630232887909123e-12,0.9631006290061961,0.32610813984478226
35,MXF,WHOv2 > catomatic_v3.4.0,0.9528094337836899,0.08876999673796077,0.0008316963435114191,0.39776219524135126,0.15730818017776105
36,PZA,WHOv1 > WHOv2,0.8859257184607229,0.9030028563432263,0.008258255941395358,0.20538506206959706,0.924076797689787
37,PZA,WHOv1 > catomatic_v3.4.0,0.2748597968055907,0.6926736526020535,0.00014532276975314602,2.909012104745529e-06,0.5430385203731387
38,PZA,WHOv2 > catomatic_v3.4.0,0.34179080629422576,0.7841315542774094,1.434538403722776e-10,0.0006352989978211989,0.6079964416299395
39,RIF,WHOv1 > WHOv2,0.890216494126521,0.9403226141393315,0.0971098298719819,0.9725054107005257,0.977257225841544
40,RIF,WHOv1 > catomatic_v3.4.0,0.8144752124144415,1.9525466984136383e-16,1.7685223911348385e-08,4.513518381882164e-08,1.3853970163451492e-16
41,RIF,WHOv2 > catomatic_v3.4.0,0.7098008622260439,1.0940165230501322e-16,6.850523288469502e-05,3.721459321267372e-08,1.096454363848633e-16
42,STM,WHOv1 > WHOv2,0.9588406155880718,0.8495725781474489,0.6448728954496306,0.5857326994129146,0.8415251201787106
43,STM,WHOv1 > catomatic_v3.4.0,0.4294999730995622,0.0003042342088425807,4.596452117024521e-29,1.3188264379190404e-24,4.7931451565052934e-05
44,STM,WHOv2 > catomatic_v3.4.0,0.39992239531393037,0.00014423252995201136,2.4466733621014194e-31,4.6573100710308784e-27,2.005454395180971e-05
