Drug,Build_FRS,Test_FRS,Sensitivity,Specificity,DPR,Sensitivity2,Specificity2
CAP,0.9,0.4,82.3076923076923,97.73969722455845,90.32761310452419,78.34728033472803,97.96824796824797
CAP,0.9,0.5,81.62816281628163,97.80300641227794,90.32761310452419,77.61506276150628,98.02494802494802
CAP,0.9,0.6000000000000001,80.32967032967034,97.84663865546219,90.39694921130177,76.4644351464435,98.06274806274806
CAP,0.9,0.7000000000000001,79.14379802414928,97.90048288893554,90.4576183047322,75.418410041841,98.1099981099981
CAP,0.9,0.8,78.26564215148188,97.95404469625433,90.5009533714682,74.581589958159,98.15724815724816
CAP,0.9,0.9,76.85589519650655,97.9979035639413,90.62229155832901,73.64016736401673,98.1950481950482
AMI,0.1,0.1,84.98023715415019,98.29705056179775,92.27335846062289,82.6923076923077,98.43582025370888
AMI,0.1,0.2,84.38735177865613,98.33995791442601,92.37254512993454,82.11538461538461,98.47344657062997
AMI,0.1,0.30000000000000004,83.79446640316206,98.4058394160584,92.45685379884944,81.53846153846153,98.5325736400774
AMI,0.1,0.4,83.32234673698088,98.43594981032973,92.50148780003967,81.02564102564102,98.55944958073533
AMI,0.1,0.5,82.89299867899604,98.45399918324486,92.51636580043642,80.44871794871796,98.57557514513007
AMI,0.1,0.6000000000000001,81.87211601845749,98.48387661088111,92.57091846855784,79.61538461538461,98.602451085788
AMI,0.1,0.7000000000000001,81.02766798418972,98.49032408486826,92.61059313628249,78.84615384615384,98.60782627391958
AMI,0.1,0.8,80.09228740936058,98.50329043154156,92.68002380480064,77.88461538461539,98.61857665018276
AMI,0.1,0.9,79.05138339920948,98.53343420822907,92.7444951398532,76.92307692307693,98.64545259084068
AMI,0.2,0.1,84.98023715415019,98.29705056179775,92.27335846062289,82.6923076923077,98.43582025370888
AMI,0.2,0.2,84.38735177865613,98.33995791442601,92.37254512993454,82.11538461538461,98.47344657062997
AMI,0.2,0.30000000000000004,83.79446640316206,98.4058394160584,92.45685379884944,81.53846153846153,98.5325736400774
AMI,0.2,0.4,83.32234673698088,98.43594981032973,92.50148780003967,81.02564102564102,98.55944958073533
AMI,0.2,0.5,82.89299867899604,98.45399918324486,92.51636580043642,80.44871794871796,98.57557514513007
AMI,0.2,0.6000000000000001,81.87211601845749,98.48387661088111,92.57091846855784,79.61538461538461,98.602451085788
AMI,0.2,0.7000000000000001,81.02766798418972,98.49032408486826,92.61059313628249,78.84615384615384,98.60782627391958
AMI,0.2,0.8,80.09228740936058,98.50329043154156,92.68002380480064,77.88461538461539,98.61857665018276
AMI,0.2,0.9,79.05138339920948,98.53343420822907,92.7444951398532,76.92307692307693,98.64545259084068
AMI,0.30000000000000004,0.1,84.98023715415019,98.29705056179775,92.27335846062289,82.6923076923077,98.43582025370888
AMI,0.30000000000000004,0.2,84.38735177865613,98.33995791442601,92.37254512993454,82.11538461538461,98.47344657062997
AMI,0.30000000000000004,0.30000000000000004,83.79446640316206,98.4058394160584,92.45685379884944,81.53846153846153,98.5325736400774
AMI,0.30000000000000004,0.4,83.32234673698088,98.43594981032973,92.50148780003967,81.02564102564102,98.55944958073533
AMI,0.30000000000000004,0.5,82.89299867899604,98.45399918324486,92.51636580043642,80.44871794871796,98.57557514513007
AMI,0.30000000000000004,0.6000000000000001,81.87211601845749,98.48387661088111,92.57091846855784,79.61538461538461,98.602451085788
AMI,0.30000000000000004,0.7000000000000001,81.02766798418972,98.49032408486826,92.61059313628249,78.84615384615384,98.60782627391958
AMI,0.30000000000000004,0.8,80.09228740936058,98.50329043154156,92.68002380480064,77.88461538461539,98.61857665018276
AMI,0.30000000000000004,0.9,79.05138339920948,98.53343420822907,92.7444951398532,76.92307692307693,98.64545259084068
AMI,0.4,0.1,84.98023715415019,98.29705056179775,92.27335846062289,82.6923076923077,98.43582025370888
AMI,0.4,0.2,84.38735177865613,98.33995791442601,92.37254512993454,82.11538461538461,98.47344657062997
AMI,0.4,0.30000000000000004,83.79446640316206,98.4058394160584,92.45685379884944,81.53846153846153,98.5325736400774
AMI,0.4,0.4,83.32234673698088,98.43594981032973,92.50148780003967,81.02564102564102,98.55944958073533
AMI,0.4,0.5,82.89299867899604,98.45399918324486,92.51636580043642,80.44871794871796,98.57557514513007
AMI,0.4,0.6000000000000001,81.87211601845749,98.48387661088111,92.57091846855784,79.61538461538461,98.602451085788
AMI,0.4,0.7000000000000001,81.02766798418972,98.49032408486826,92.61059313628249,78.84615384615384,98.60782627391958
AMI,0.4,0.8,80.09228740936058,98.50329043154156,92.68002380480064,77.88461538461539,98.61857665018276
AMI,0.4,0.9,79.05138339920948,98.53343420822907,92.7444951398532,76.92307692307693,98.64545259084068
AMI,0.5,0.1,84.98023715415019,98.29705056179775,92.27335846062289,82.6923076923077,98.43582025370888
AMI,0.5,0.2,84.38735177865613,98.33995791442601,92.37254512993454,82.11538461538461,98.47344657062997
AMI,0.5,0.30000000000000004,83.79446640316206,98.4058394160584,92.45685379884944,81.53846153846153,98.5325736400774
AMI,0.5,0.4,83.32234673698088,98.43594981032973,92.50148780003967,81.02564102564102,98.55944958073533
AMI,0.5,0.5,82.89299867899604,98.45399918324486,92.51636580043642,80.44871794871796,98.57557514513007
AMI,0.5,0.6000000000000001,81.87211601845749,98.48387661088111,92.57091846855784,79.61538461538461,98.602451085788
AMI,0.5,0.7000000000000001,81.02766798418972,98.49032408486826,92.61059313628249,78.84615384615384,98.60782627391958
AMI,0.5,0.8,80.09228740936058,98.50329043154156,92.68002380480064,77.88461538461539,98.61857665018276
AMI,0.5,0.9,79.05138339920948,98.53343420822907,92.7444951398532,76.92307692307693,98.64545259084068
AMI,0.6000000000000001,0.1,85.82834331337325,98.24730470396916,89.79369172783178,82.6923076923077,98.43582025370888
AMI,0.6000000000000001,0.2,85.28628495339548,98.29100974846551,89.86312239634992,82.11538461538461,98.47344657062997
AMI,0.6000000000000001,0.30000000000000004,84.68708388814915,98.35848716252781,89.9275937314025,81.53846153846153,98.5325736400774
AMI,0.6000000000000001,0.4,84.21052631578947,98.38981014179284,89.98710573298948,81.02564102564102,98.55944958073533
AMI,0.6000000000000001,0.5,83.77837116154873,98.40850399375412,90.00694306685182,80.44871794871796,98.57557514513007
AMI,0.6000000000000001,0.6000000000000001,82.8,98.43937575030012,90.06149573497322,79.61538461538461,98.602451085788
AMI,0.6000000000000001,0.7000000000000001,81.83632734530939,98.44631073785243,90.1259670700258,78.84615384615384,98.60782627391958
AMI,0.6000000000000001,0.8,80.89214380825565,98.45987894768382,90.2053164054751,77.88461538461539,98.61857665018276
AMI,0.6000000000000001,0.9,79.84031936127745,98.49110831686725,90.27970640745883,76.92307692307693,98.64545259084068
AMI,0.7000000000000001,0.1,84.98023715415019,98.29705056179775,92.27335846062289,82.6923076923077,98.43582025370888
AMI,0.7000000000000001,0.2,84.38735177865613,98.33995791442601,92.37254512993454,82.11538461538461,98.47344657062997
AMI,0.7000000000000001,0.30000000000000004,83.79446640316206,98.4058394160584,92.45685379884944,81.53846153846153,98.5325736400774
AMI,0.7000000000000001,0.4,83.32234673698088,98.43594981032973,92.50148780003967,81.02564102564102,98.55944958073533
AMI,0.7000000000000001,0.5,82.89299867899604,98.45399918324486,92.51636580043642,80.44871794871796,98.57557514513007
AMI,0.7000000000000001,0.6000000000000001,81.87211601845749,98.48387661088111,92.57091846855784,79.61538461538461,98.602451085788
AMI,0.7000000000000001,0.7000000000000001,81.02766798418972,98.49032408486826,92.61059313628249,78.84615384615384,98.60782627391958
AMI,0.7000000000000001,0.8,80.09228740936058,98.50329043154156,92.68002380480064,77.88461538461539,98.61857665018276
AMI,0.7000000000000001,0.9,79.05138339920948,98.53343420822907,92.7444951398532,76.92307692307693,98.64545259084068
AMI,0.8,0.1,84.98023715415019,98.29705056179775,92.27335846062289,82.6923076923077,98.43582025370888
AMI,0.8,0.2,84.38735177865613,98.33995791442601,92.37254512993454,82.11538461538461,98.47344657062997
AMI,0.8,0.30000000000000004,83.79446640316206,98.4058394160584,92.45685379884944,81.53846153846153,98.5325736400774
AMI,0.8,0.4,83.32234673698088,98.43594981032973,92.50148780003967,81.02564102564102,98.55944958073533
AMI,0.8,0.5,82.89299867899604,98.45399918324486,92.51636580043642,80.44871794871796,98.57557514513007
AMI,0.8,0.6000000000000001,81.87211601845749,98.48387661088111,92.57091846855784,79.61538461538461,98.602451085788
AMI,0.8,0.7000000000000001,81.02766798418972,98.49032408486826,92.61059313628249,78.84615384615384,98.60782627391958
AMI,0.8,0.8,80.09228740936058,98.50329043154156,92.68002380480064,77.88461538461539,98.61857665018276
AMI,0.8,0.9,79.05138339920948,98.53343420822907,92.7444951398532,76.92307692307693,98.64545259084068
AMI,0.9,0.1,84.98023715415019,98.29705056179775,92.27335846062289,82.6923076923077,98.43582025370888
AMI,0.9,0.2,84.38735177865613,98.33995791442601,92.37254512993454,82.11538461538461,98.47344657062997
