,Drug,Build_FRS,Test_FRS,Sensitivity,Specificity,DPR,Sensitivity2,Specificity2,catalogued_R,catalogued_S,catalogued_RS
781,BDQ,0.30000000000000004,0.8,33.56643356643357,99.37909045141802,96.08827278521352,31.788079470198678,99.40327392952182,36,0,36
782,BDQ,0.30000000000000004,0.9,30.28169014084507,99.42133512244213,96.1281070745698,28.47682119205298,99.44359325860817,36,0,36
783,AMI,0.9,0.1,85.13157894736842,98.30577313606034,92.27098297746728,82.8955797565663,98.44391153743672,10,6,16
784,AMI,0.9,0.2,84.53947368421053,98.34830483917705,92.36937912033848,82.3190262652146,98.48121502797763,10,6,16
785,AMI,0.9,0.30000000000000004,83.94736842105263,98.41361741547013,92.453015841779,81.7424727738629,98.53983479882761,10,6,16
786,AMI,0.9,0.4,83.47597103357472,98.4434671912973,92.49729410607104,81.2299807815503,98.56648014921396,10,6,16
787,AMI,0.9,0.5,83.04749340369393,98.46136048125868,92.51205352750172,80.6534272901986,98.58246735944579,10,6,16
788,AMI,0.9,0.6000000000000001,82.02764976958525,98.49098057354301,92.56617140608088,79.82062780269058,98.60911270983213,10,6,16
789,AMI,0.9,0.7000000000000001,81.1842105263158,98.49737039819685,92.60552986322936,79.05188981422165,98.6144417799094,10,6,16
790,AMI,0.9,0.8,80.25016458196181,98.5103065996882,92.67932697038276,78.09096732863549,98.62509992006395,10,6,16
791,AMI,0.9,0.9,79.21052631578948,98.54018810224453,92.74328446324904,77.13004484304933,98.6517452704503,10,6,16
792,BDQ,0.4,0.1,48.92086330935252,99.06360722119116,95.54652644996813,45.033112582781456,99.10491089428271,35,0,35
793,BDQ,0.4,0.2,47.482014388489205,99.09826394741278,95.6421287444232,43.70860927152318,99.1371663575518,35,0,35
794,BDQ,0.4,0.30000000000000004,44.680851063829785,99.1421362489487,95.84926704907585,41.72185430463576,99.17748568663818,35,0,35
795,BDQ,0.4,0.4,43.35664335664335,99.23490835715486,95.89706819630338,41.05960264900662,99.26618821062817,35,0,35
796,BDQ,0.4,0.5,40.55944055944056,99.26050420168067,95.94486934353091,38.41059602649007,99.29037980808,35,0,35
797,BDQ,0.4,0.6000000000000001,37.32394366197183,99.32784405982189,95.95283620140216,35.099337748344375,99.35489073461817,35,0,35
798,BDQ,0.4,0.7000000000000001,33.80281690140845,99.33663615752792,96.00860420650096,31.788079470198678,99.36295460043544,35,0,35
799,BDQ,0.4,0.8,33.56643356643357,99.38742972224553,96.08030592734225,31.788079470198678,99.41133779533908,35,0,35
800,BDQ,0.4,0.9,30.28169014084507,99.42967373983058,96.12014021669853,28.47682119205298,99.45165712442545,35,0,35
801,ETH,0.30000000000000004,0.1,90.81364829396325,87.04504504504504,90.0451304859703,82.60572987721692,88.36287124706644,314,1,315
802,ETH,0.30000000000000004,0.2,90.54763690922731,87.1797177020588,90.18902478906404,82.33287858117326,88.45998219632597,314,1,315
803,ETH,0.30000000000000004,0.30000000000000004,90.40119985001874,87.29930935509911,90.36562234286089,82.23055934515689,88.54090798737558,314,1,315
804,ETH,0.30000000000000004,0.4,90.1350337584396,87.40369109478588,90.44411014454838,81.95770804911324,88.62183377842518,314,1,315
