,Drug,Build_FRS,Test_FRS,Sensitivity,Specificity,Coverage
258,ETH,0.2,0.7000000000000001,89.4206549118388,86.96820420958352,91.97889182058047
259,ETH,0.2,0.8,88.72478386167147,87.05808645842656,92.01187335092348
260,ETH,0.2,0.9,87.51349406261245,87.16917024320458,92.1042216358839
261,ETH,0.30000000000000004,0.1,91.32469402447803,86.30334746909682,91.43139841688654
262,ETH,0.30000000000000004,0.2,91.06949945984876,86.45411150139601,91.55672823218998
263,ETH,0.30000000000000004,0.30000000000000004,90.925459128556,86.58339324227174,91.72163588390502
264,ETH,0.30000000000000004,0.4,90.67002881844381,86.68880710887711,91.80079155672823
265,ETH,0.30000000000000004,0.5,90.41441441441441,86.80362429353188,91.83377308707124
266,ETH,0.30000000000000004,0.6,89.8488120950324,86.88480502017033,91.90633245382585
267,ETH,0.30000000000000004,0.7000000000000001,89.4206549118388,86.96820420958352,91.97889182058047
268,ETH,0.30000000000000004,0.8,88.72478386167147,87.05808645842656,92.01187335092348
269,ETH,0.30000000000000004,0.9,87.51349406261245,87.16917024320458,92.1042216358839
270,ETH,0.4,0.1,91.32781576106514,86.28777627424448,91.45118733509234
271,ETH,0.4,0.2,91.07271418286537,86.43854119765871,91.57651715039577
272,ETH,0.4,0.30000000000000004,90.92872570194385,86.56783468104223,91.74142480211081
273,ETH,0.4,0.4,90.6801007556675,86.67324777887463,91.83377308707124
274,ETH,0.4,0.5,90.42131796903134,86.78805274015606,91.86015831134564
275,ETH,0.4,0.6,89.8524649154372,86.86923007977055,91.92612137203167
276,ETH,0.4,0.7000000000000001,89.42446043165468,86.95262827975284,91.99868073878628
277,ETH,0.4,0.8,88.72884407634137,87.04250559284117,92.03166226912928
278,ETH,0.4,0.9,87.5179856115108,87.1535848381906,92.12401055408971
279,ETH,0.5,0.1,91.33405249910105,86.24887285843101,91.49736147757255
280,ETH,0.5,0.2,91.07913669064747,86.3996399639964,91.62269129287598
281,ETH,0.5,0.30000000000000004,90.93525179856115,86.52896273013022,91.78759894459102
282,ETH,0.5,0.4,90.68680330816254,86.63437387872264,91.87994722955145
283,ETH,0.5,0.5,90.43509528946421,86.75692638751904,91.91292875989447
284,ETH,0.5,0.6,89.86340762041696,86.83809694471822,91.97229551451187
285,ETH,0.5,0.7000000000000001,89.43206326383897,86.92149315191119,92.03825857519789
286,ETH,0.5,0.8,88.73695573947464,87.02693030330141,92.05804749340369
287,ETH,0.5,0.9,87.52695902228612,87.13800500536288,92.15039577836411
288,ETH,0.6,0.1,91.32469402447803,86.25665073496258,91.47097625329815
289,ETH,0.6,0.2,91.06628242074927,86.41519625495138,91.58311345646439
290,ETH,0.6,0.30000000000000004,90.92219020172911,86.53673432728579,91.75461741424802
