Drug,Build_FRS,Test_FRS,Sensitivity,Specificity,DPR,Sensitivity2,Specificity2,TP,FN,TN,FP,UP,UN
STM,0.5,0.6000000000000001,94.48984356759281,93.22109988776656,91.74547983310153,89.08210433634163,93.85991664125241,4047,236,8306,604,260,927
STM,0.5,0.7000000000000001,94.28371441903873,93.23308270676691,91.77329624478442,88.95003301782964,93.8700823421775,4041,245,8308,603,257,926
STM,0.5,0.8,94.00652985074626,93.27052489905788,91.82197496522949,88.72991415364297,93.90057944495273,4031,257,8316,600,255,921
STM,0.5,0.9,93.03355079217148,93.29746693566466,91.89151599443672,87.89346246973365,93.92091084680288,3993,299,8324,598,251,915
STM,0.9,0.1,95.42038515735088,93.24476469263679,91.3769123783032,89.43429451904028,93.90057944495273,4063,195,8282,600,285,955
STM,0.9,0.2,95.23250352278065,93.28760962446593,91.46036161335188,89.25819942769095,93.93107654772797,4055,203,8297,597,285,943
STM,0.9,0.30000000000000004,95.13399153737659,93.33632992471064,91.4673157162726,89.08210433634163,93.97173935142828,4047,207,8306,593,289,938
STM,0.9,0.4,94.92242595204513,93.3932584269663,91.47426981919332,88.88399735857362,94.02256785605367,4038,216,8312,588,289,937
STM,0.9,0.5,94.7331295556078,93.42918117488487,91.48817802503477,88.68589038080563,94.05306495882891,4029,224,8318,585,290,934
STM,0.9,0.6000000000000001,94.45879314393049,93.44409519533005,91.56467315716273,88.55381906229364,94.063230659754,4023,236,8324,584,284,929
STM,0.9,0.7000000000000001,94.25152510558424,93.45605567403749,91.59248956884561,88.42174774378164,94.07339636067907,4017,245,8326,583,281,928
STM,0.9,0.8,93.97279549718574,93.49338119811532,91.64116828929069,88.20162887959498,94.1038934634543,4007,257,8334,580,279,923
STM,0.9,0.9,93.00093632958801,93.50969622239658,91.74547983310153,87.45322474136033,94.11405916437938,3973,299,8342,579,271,916
LEV,0.30000000000000004,0.1,92.4009324009324,97.11028332768934,93.45222929936305,90.41970802919708,97.32860273400814,1982,163,8603,256,47,724
LEV,0.30000000000000004,0.2,92.11017740429504,97.1370604147881,93.53715498938429,90.00912408759125,97.3494730251487,1973,169,8618,254,50,711
LEV,0.30000000000000004,0.30000000000000004,91.4365933551708,97.17342342342342,93.56263269639065,89.14233576642336,97.38077846185953,1954,183,8629,251,55,703
LEV,0.30000000000000004,0.4,90.72164948453609,97.241301655219,93.5456475583864,88.32116788321169,97.44338933528122,1936,198,8636,245,58,702
LEV,0.30000000000000004,0.5,89.92974238875878,97.27661489984246,93.59660297239914,87.59124087591242,97.47469477199206,1920,215,8644,242,57,697
LEV,0.30000000000000004,0.6000000000000001,88.78986866791745,97.32283464566929,93.60509554140127,86.3594890510949,97.51643535427318,1893,239,8652,238,60,693
LEV,0.30000000000000004,0.7000000000000001,87.21910112359551,97.380845323741,93.6900212314225,84.99087591240875,97.5686110821246,1863,273,8663,233,56,687
LEV,0.30000000000000004,0.8,85.85480093676814,97.42812219227314,93.74946921443737,83.62226277372264,97.61035166440571,1833,302,8675,229,57,679
LEV,0.30000000000000004,0.9,84.03558052434457,97.47446402514312,93.8004246284501,81.88868613138686,97.65209224668683,1795,341,8684,225,56,674
LEV,0.7000000000000001,0.1,92.4009324009324,97.11028332768934,93.45222929936305,90.41970802919708,97.32860273400814,1982,163,8603,256,47,724
LEV,0.7000000000000001,0.2,92.11017740429504,97.1370604147881,93.53715498938429,90.00912408759125,97.3494730251487,1973,169,8618,254,50,711
LEV,0.7000000000000001,0.30000000000000004,91.4365933551708,97.17342342342342,93.56263269639065,89.14233576642336,97.38077846185953,1954,183,8629,251,55,703
LEV,0.7000000000000001,0.4,90.72164948453609,97.241301655219,93.5456475583864,88.32116788321169,97.44338933528122,1936,198,8636,245,58,702
LEV,0.7000000000000001,0.5,89.92974238875878,97.27661489984246,93.59660297239914,87.59124087591242,97.47469477199206,1920,215,8644,242,57,697
LEV,0.7000000000000001,0.6000000000000001,88.78986866791745,97.32283464566929,93.60509554140127,86.3594890510949,97.51643535427318,1893,239,8652,238,60,693
LEV,0.7000000000000001,0.7000000000000001,87.21910112359551,97.380845323741,93.6900212314225,84.99087591240875,97.5686110821246,1863,273,8663,233,56,687
LEV,0.7000000000000001,0.8,85.85480093676814,97.42812219227314,93.74946921443737,83.62226277372264,97.61035166440571,1833,302,8675,229,57,679
LEV,0.7000000000000001,0.9,84.03558052434457,97.47446402514312,93.8004246284501,81.88868613138686,97.65209224668683,1795,341,8684,225,56,674
RIF,0.5,0.1,96.1801070308175,98.03121533829821,97.56902193018037,95.38799414348462,98.09235020918896,10424,414,24747,497,90,809
RIF,0.5,0.2,96.00516652827751,98.08064452430789,97.77994105080987,95.22327964860908,98.13457183433769,10406,433,24835,486,89,732
RIF,0.5,0.30000000000000004,95.88409007013658,98.1062847674281,97.84213515048268,95.07686676427525,98.15760181169155,10390,446,24867,480,92,706
RIF,0.5,0.4,95.78335486252077,98.11484461271493,97.87188015467402,94.99450951683748,98.1652784708095,10381,457,24878,478,90,697
RIF,0.5,0.5,95.63532342899327,98.11915933914278,97.88269651983451,94.8389458272328,98.16911680036849,10364,473,24884,477,91,692
RIF,0.5,0.6000000000000001,95.35720878715156,98.12369427253735,97.89621697628512,94.53696925329429,98.17295512992746,10331,503,24893,476,94,684
RIF,0.5,0.7000000000000001,95.0083041151504,98.13960821410271,97.91244152402585,94.22584187408492,98.18830844816337,10297,541,24899,472,90,682
RIF,0.5,0.8,94.64845912529987,98.14369605486146,97.91784970660609,93.86896046852124,98.19214677772233,10258,580,24902,471,90,680
RIF,0.5,0.9,94.07749077490774,98.17551326003861,97.93407425434683,93.3199121522694,98.22285341419415,10198,642,24914,463,88,676
RIF,0.9,0.1,96.1416589002796,98.52326553357481,96.94978502474243,94.39970717423132,98.57597973361993,10316,414,24752,371,198,930
RIF,0.9,0.2,95.95488861962905,98.57142857142858,97.1552959627917,94.2075402635432,98.61820135876866,10295,434,24840,360,199,853
RIF,0.9,0.30000000000000004,95.83177918687056,98.59277757957744,97.2147859711744,94.04282576866764,98.63739300656354,10277,447,24872,355,204,826
RIF,0.9,0.4,95.73000186462801,98.6011491975431,97.2418268840756,93.96046852122987,98.64506966568149,10268,458,24882,353,202,818
