,Unnamed: 0,DRUG,BACKGROUND_RATE,p_value,SENSITIVITY,SPECIFICITY,DPR,SENSITIVITY2,SPECIFICITY2
60,60.0,EMB,0.05,0.9,0.9505876068376068,0.8636601079575135,0.8422240316389438,0.937442381140524,0.8893817811934901
61,61.0,EMB,0.05,0.95,0.950554590404918,0.8638105189829328,0.8419913923461673,0.9367838798893718,0.8895230560578662
62,62.0,EMB,0.1,0.9,0.9501482080301804,0.867546449036291,0.842549726648831,0.9287501646253128,0.8922355334538878
63,63.0,EMB,0.1,0.95,0.9500135098621996,0.8689056287926344,0.8392695126206816,0.9261161596207031,0.8937895569620253
64,64.0,EMB,0.15,0.9,0.9489501852614244,0.8782814567230695,0.8377108293590787,0.9107072303437376,0.9012206148282098
65,65.0,EMB,0.15,0.95,0.9482902418682236,0.8788397693517386,0.8330580435035477,0.8984591070723035,0.9020400090415912
66,66.0,EMB,0.2,0.9,0.9439356092145434,0.8932238833921159,0.9129929045015704,0.895825102067694,0.9033397377938516
67,67.0,EMB,0.2,0.95,0.9456333140543668,0.8899838107974942,0.821914621379551,0.8613196365073094,0.9116749547920434
68,68.0,EMB,0.25,0.9,0.9364121280179676,0.9000928792569659,0.9171571478422704,0.8785723692875016,0.9088212025316456
69,69.0,EMB,0.25,0.95,0.938587802462148,0.9001591710620768,0.9098057461905316,0.8735677597787436,0.909612341772152
70,70.0,ETH,0.05,0.9,0.8998046329891153,0.8614786522984585,0.9001874876652852,0.8203562340966921,0.8756885787734117
71,71.0,ETH,0.05,0.95,0.8975456621004566,0.8675733223435675,0.8912078152753108,0.8002544529262087,0.8819928999877586
72,72.0,ETH,0.1,0.9,0.8859915100060642,0.8975163755458515,0.8858298796131834,0.7435114503816794,0.9080670828742808
73,73.0,ETH,0.1,0.95,0.8848744641763625,0.9006504621704896,0.8817347542924807,0.7353689567430025,0.9111886399804138
74,74.0,ETH,0.15,0.9,0.878489847715736,0.9159161223788244,0.8731497927767911,0.7045801526717558,0.9251438364548904
75,75.0,ETH,0.15,0.95,0.876707872478855,0.9206117483489746,0.8614071442668245,0.6857506361323156,0.9301016036234544
76,76.0,ETH,0.2,0.9,0.8637236084452975,0.9286102801196628,0.8799092164989145,0.6870229007633588,0.93573264781491
77,77.0,ETH,0.2,0.95,0.8596375617792422,0.9326042378673958,0.8715709492796526,0.6638676844783715,0.9396498959480964
78,78.0,ETH,0.25,0.9,0.8587064676616916,0.9348643291641036,0.8706335109532267,0.6587786259541984,0.9416697270167708
79,79.0,ETH,0.25,0.95,0.8516713091922006,0.9398568676025324,0.858693507006118,0.6223918575063613,0.9465050801811729
80,80.0,INH,0.05,0.9,0.947074327886136,0.9808574421208508,0.9546970596059012,0.9418610747051114,0.9822123775003356
